Burguer | noun
Café | noun
Chopsiticks | noun
Downstairs | noun
Firewoman | noun
Grown-up | noun
Jeans | noun
Offline | noun
Picnick | noun
Sports center | noun
Trousers | noun
Fun | adjective
Glass | adjective
Paper | adjective
Be called | verb
Could | verb
Get undressed | verb
Go shopping | verb
Have got to | verb
Have to | verb
Loot at | verb
May | verb
Might | verb
Must | verb
Shall | verb
Should | verb
Take a photo | verb
Take a picture | verb
Text | verb
Video | verb
Would | verb
Would like | verb
